"filename", "language", "Properties", "Markdown", "JSON", "Python", "JavaScript", "pip requirements", "MS SQL", "JSON with Comments", "vue", "HTML", "JavaScript JSX", "comment", "blank", "total"
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/gpt_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 8, 50
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/health_personnel.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 8, 27
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/medical_history_service.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/medical_record_service.py", "Python", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 8, 10, 71
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/medicine/medicine_histories_service.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/medicine/medicine_service.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/services/patient_service.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/utils/database_backup0325.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 1240, 0, 0, 0, 0, 129, 41, 1410
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/utils/database_backup0330.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 1332, 0, 0, 0, 0, 135, 43, 1510
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/utils/prompts.py", "Python", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 3, 17, 121
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/app/utils/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/frontend/.env", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/frontend/README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/frontend/babel.config.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/frontend/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"/Users/chenle/Documents/Python/AmbuSmart/AmbuSmart/frontend/package-lock.json", "JSON", 0, 0, 15276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15277
